id,shortURI,URI,command
65,"http://t9w.ms.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/8Z05-RYCS/","mkdir 8Z05-RYCS"
66,"http://t9w.mu.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/F3GC-1YA8/","mkdir F3GC-1YA8"
67,"http://t9w.mx.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/5C74-PVX8/","mkdir 5C74-PVX8"
68,"http://t9w.my.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/E902-M47A/","mkdir E902-M47A"
69,"http://t9w.n0.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/WGBY-YI10/","mkdir WGBY-YI10"
70,"http://t9w.n2.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/OWVE-B8RF/","mkdir OWVE-B8RF"
71,"http://t9w.n4.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/HNXC-XBJQ/","mkdir HNXC-XBJQ"
72,"http://t9w.n7.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/ICJP-RAYY/","mkdir ICJP-RAYY"
73,"http://t9w.n9.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/6IVQ-QR0F/","mkdir 6IVQ-QR0F"
74,"http://t9w.na.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/LCCK-LORR/","mkdir LCCK-LORR"
75,"http://t9w.nc.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/WFYV-QKRJ/","mkdir WFYV-QKRJ"
76,"http://t9w.ne.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/K92X-6QWT/","mkdir K92X-6QWT"
77,"http://t9w.nh.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/2AII-5A9M/","mkdir 2AII-5A9M"
78,"http://t9w.ni.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/N4KA-DR5Q/","mkdir N4KA-DR5Q"
79,"http://t9w.nk.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/C9QK-CCYN/","mkdir C9QK-CCYN"
80,"http://t9w.nn.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/MDF2-JPDL/","mkdir MDF2-JPDL"
